2026-03-15 14:51:32,562 | INFO | hotkeys | start_hotkeys | Registrando hotkeys
2026-03-15 14:51:32,571 | INFO | hotkeys | start_hotkeys | Hotkeys activas ALT+1 y ALT+2
2026-03-15 15:07:53,566 | INFO | hotkeys | start_hotkeys | Registrando hotkeys
2026-03-15 15:07:53,572 | INFO | hotkeys | start_hotkeys | Hotkeys activas ALT+1 y ALT+2
2026-03-15 15:08:43,373 | INFO | hotkeys | start_hotkeys | Registrando hotkeys
2026-03-15 15:08:43,386 | INFO | hotkeys | start_hotkeys | Hotkeys activas ALT+1 y ALT+2
2026-03-15 15:08:44,963 | INFO | hotkeys | start_hotkeys | Registrando hotkeys
2026-03-15 15:08:44,977 | INFO | hotkeys | start_hotkeys | Hotkeys activas ALT+1 y ALT+2
2026-03-15 15:08:45,209 | INFO | hotkeys | start_hotkeys | Registrando hotkeys
2026-03-15 15:08:45,222 | INFO | hotkeys | start_hotkeys | Hotkeys activas ALT+1 y ALT+2
2026-03-15 15:08:49,512 | INFO | hotkeys | start_hotkeys | Registrando hotkeys
2026-03-15 15:08:49,526 | INFO | hotkeys | start_hotkeys | Hotkeys activas ALT+1 y ALT+2
2026-03-15 15:08:58,411 | INFO | hotkeys | start_hotkeys | Registrando hotkeys
2026-03-15 15:08:58,426 | INFO | hotkeys | start_hotkeys | Hotkeys activas ALT+1 y ALT+2
2026-03-15 15:09:01,337 | INFO | hotkeys | start_hotkeys | Registrando hotkeys
2026-03-15 15:09:01,356 | INFO | hotkeys | start_hotkeys | Hotkeys activas ALT+1 y ALT+2
2026-03-15 15:09:02,695 | INFO | hotkeys | start_hotkeys | Registrando hotkeys
2026-03-15 15:09:02,715 | INFO | hotkeys | start_hotkeys | Hotkeys activas ALT+1 y ALT+2
2026-03-15 15:10:13,274 | INFO | hotkeys | start_hotkeys | Registrando hotkeys
2026-03-15 15:10:13,292 | INFO | hotkeys | start_hotkeys | Hotkeys activas ALT+1 y ALT+2
2026-03-15 15:12:15,441 | INFO | hotkeys | start_hotkeys | Registrando hotkeys
2026-03-15 15:12:15,460 | INFO | hotkeys | start_hotkeys | Hotkeys activas ALT+1 y ALT+2
2026-03-15 15:12:16,811 | INFO | hotkeys | start_hotkeys | Registrando hotkeys
2026-03-15 15:12:16,824 | INFO | hotkeys | start_hotkeys | Hotkeys activas ALT+1 y ALT+2
2026-03-15 15:12:36,662 | INFO | hotkeys | start_hotkeys | Registrando hotkeys
2026-03-15 15:12:36,679 | INFO | hotkeys | start_hotkeys | Hotkeys activas ALT+1 y ALT+2
2026-03-15 15:12:43,402 | INFO | hotkeys | start_hotkeys | Registrando hotkeys
2026-03-15 15:12:43,421 | INFO | hotkeys | start_hotkeys | Hotkeys activas ALT+1 y ALT+2
2026-03-15 15:16:11,496 | DEBUG | <string> | <module> | Test DEBUG log - should appear in console
2026-03-15 15:16:11,496 | INFO | <string> | <module> | Test INFO log - should appear in console
2026-03-15 15:16:11,496 | WARNING | <string> | <module> | Test WARNING log - should appear in console
2026-03-15 15:16:24,565 | DEBUG | reader | clean_digits | OCR raw text recibido: 1,234,567
2026-03-15 15:16:24,566 | DEBUG | reader | clean_digits | Valor numérico parseado: 1234567
2026-03-15 15:16:27,780 | INFO | hotkeys | start_hotkeys | Registrando hotkeys
2026-03-15 15:16:27,803 | INFO | hotkeys | start_hotkeys | Hotkeys activas ALT+1 y ALT+2
2026-03-15 15:16:28,811 | INFO | hotkeys | start_hotkeys | Registrando hotkeys
2026-03-15 15:16:28,826 | INFO | hotkeys | start_hotkeys | Hotkeys activas ALT+1 y ALT+2
2026-03-15 15:16:35,817 | INFO | test_logging | test_ocr_logging | 🧪 Iniciando pruebas de logging del OCR
2026-03-15 15:16:35,817 | INFO | test_logging | test_ocr_logging | Probando clean_digits...
2026-03-15 15:16:35,817 | DEBUG | reader | clean_digits | OCR raw text recibido: 1,234,567 silver
2026-03-15 15:16:35,817 | DEBUG | reader | clean_digits | Valor numérico parseado: 1234567
2026-03-15 15:16:35,817 | INFO | test_logging | test_ocr_logging | Resultado clean_digits: 1234567
2026-03-15 15:16:35,818 | INFO | test_logging | test_ocr_logging | Probando read_silver_value...
2026-03-15 15:16:35,818 | DEBUG | reader | read_silver_value | Iniciando lectura de silver con OCR
2026-03-15 15:16:35,844 | DEBUG | reader | read_silver_value | Imagen procesada con bright_text
